uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category,event_info,event_member_org,event_source_org,event_distribution,event_threat_level_id,event_analysis,event_date,event_tag,event_timestamp
"17f22a90-1dff-43e3-9d09-2fdb6745e3a1",5966,"Network activity","domain","ukrainianriver.com","",1,1646349674,"","","","","","DomainTools Ukraine Newly Registered Domains Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-03","collection:ioc-source=""domaintools"",tlp:white,false-positive:risk=""high"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646688992
"1d92f763-4926-4f7d-b24c-abdfb932bf7a",5966,"Network activity","domain","saveukraine.uk","",1,1646349674,"","","","","","DomainTools Ukraine Newly Registered Domains Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-03","collection:ioc-source=""domaintools"",tlp:white,false-positive:risk=""high"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646688992
"65071fcd-1abb-43fc-9bdb-a347e9b8c1ef",5966,"Network activity","domain","ukrainianrose.com.ua","",1,1646349675,"","","","","","DomainTools Ukraine Newly Registered Domains Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-03","collection:ioc-source=""domaintools"",tlp:white,false-positive:risk=""high"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646688992
"17cf0a44-be27-4ed4-9374-ff8694d2d878",5966,"Network activity","domain","ukrainedefence.fund","",1,1646349675,"","","","","","DomainTools Ukraine Newly Registered Domains Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-03","collection:ioc-source=""domaintools"",tlp:white,false-positive:risk=""high"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646688992
"368a1945-2152-41b7-8ba7-f794c445a783",5966,"Network activity","domain","forukraine.info","",1,1646349675,"","","","","","DomainTools Ukraine Newly Registered Domains Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-03","collection:ioc-source=""domaintools"",tlp:white,false-positive:risk=""high"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646688992
"6f5e1e67-3ba9-4ca9-b492-bb5af21d6ccc",5966,"Network activity","domain","wehelpukraine.tech","",1,1646349676,"","","","","","DomainTools Ukraine Newly Registered Domains Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-03","collection:ioc-source=""domaintools"",tlp:white,false-positive:risk=""high"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646688992
"a89435b2-c9e0-4bb5-98af-3b4162936f07",5966,"Network activity","domain","concertforukraine.org","",1,1646349676,"","","","","","DomainTools Ukraine Newly Registered Domains Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-03","collection:ioc-source=""domaintools"",tlp:white,false-positive:risk=""high"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646688992
"79b450d9-cfe6-4b50-9e4a-4300a11bb737",5966,"Network activity","domain","ukraineops.online","",1,1646349676,"","","","","","DomainTools Ukraine Newly Registered Domains Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-03","collection:ioc-source=""domaintools"",tlp:white,false-positive:risk=""high"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646688992
"57e88b25-e298-471e-b5b9-0d0321d155f9",5966,"Network activity","domain","pleasestopwarinukraine2022.xyz","",1,1646349677,"","","","","","DomainTools Ukraine Newly Registered Domains Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-03","collection:ioc-source=""domaintools"",tlp:white,false-positive:risk=""high"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646688992
"c861f33d-1324-4f16-b8b1-3e5256155a47",5966,"Network activity","domain","jesuisukraine.eu","",1,1646349677,"","","","","","DomainTools Ukraine Newly Registered Domains Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-03","collection:ioc-source=""domaintools"",tlp:white,false-positive:risk=""high"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646688992
"00760a79-ecda-45aa-8f67-505724804a80",5966,"Network activity","domain","allforukraine.eu","",1,1646349677,"","","","","","DomainTools Ukraine Newly Registered Domains Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-03","collection:ioc-source=""domaintools"",tlp:white,false-positive:risk=""high"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646688992
"881f078e-af52-4470-b2cb-160280a390e8",5966,"Network activity","domain","ukrainevodka.net","",1,1646349678,"","","","","","DomainTools Ukraine Newly Registered Domains Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-03","collection:ioc-source=""domaintools"",tlp:white,false-positive:risk=""high"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646688992
"cd9a0fe0-7144-4c3e-9e02-7cf571ca33dc",5966,"Network activity","domain","glorytoukraine.eu","",1,1646349678,"","","","","","DomainTools Ukraine Newly Registered Domains Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-03","collection:ioc-source=""domaintools"",tlp:white,false-positive:risk=""high"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646688992
"c9c3a43a-3f8a-493e-8141-58d47cf0fa2b",5966,"Network activity","domain","wehelpukraine.site","",1,1646349678,"","","","","","DomainTools Ukraine Newly Registered Domains Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-03","collection:ioc-source=""domaintools"",tlp:white,false-positive:risk=""high"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646688992
"c8656f9e-a665-4cce-859b-3eb07db007c8",5966,"Network activity","domain","ukraine-sos.com","",1,1646349679,"","","","","","DomainTools Ukraine Newly Registered Domains Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-03","collection:ioc-source=""domaintools"",tlp:white,false-positive:risk=""high"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646688992
"7616673e-50b7-4495-8292-c4a59f1e9ea0",5966,"Network activity","domain","facesofukraine.eu","",1,1646349679,"","","","","","DomainTools Ukraine Newly Registered Domains Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-03","collection:ioc-source=""domaintools"",tlp:white,false-positive:risk=""high"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646688992
"70100ecf-b7cf-44d2-b299-8b48a2bc3f66",5966,"Network activity","domain","nursesforukraine.eu","",1,1646349680,"","","","","","DomainTools Ukraine Newly Registered Domains Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-03","collection:ioc-source=""domaintools"",tlp:white,false-positive:risk=""high"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646688992
"3a31f0d7-c51f-4aa5-87cd-9b21d9e5dcc4",5966,"Network activity","domain","ukraine-nft.xyz","",1,1646349680,"","","","","","DomainTools Ukraine Newly Registered Domains Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-03","collection:ioc-source=""domaintools"",tlp:white,false-positive:risk=""high"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646688992
"e197d335-a4b6-4d91-b731-33d45a4c4f52",5966,"Network activity","domain","googleukraine.net","",1,1646349680,"","","","","","DomainTools Ukraine Newly Registered Domains Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-03","collection:ioc-source=""domaintools"",tlp:white,false-positive:risk=""high"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646688992
"218e7273-e935-4472-8f61-2695bf8198f3",5966,"Network activity","domain","jesuisukraine.org","",1,1646349681,"","","","","","DomainTools Ukraine Newly Registered Domains Feed","UKRAINE-CRISIS","UKRAINE-CRISIS",3,"High",1,"2022-03-03","collection:ioc-source=""domaintools"",tlp:white,false-positive:risk=""high"",collection:type=""automatic"",collection:global-event=""ukraine-crisis""",1646688992
